id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Beats Rising,DJ Sharp,hip-hop,energetic,0.88,110,0.72,0.85,0.12
12,Piano Nocturne,Sarah Mills,classical,peaceful,0.25,65,0.68,0.15,0.94
13,Neon Ascension,Synth Pulse,electronic,dark,0.87,128,0.38,0.79,0.08
14,Smooth Groove,Soul Collective,soul,groovy,0.79,100,0.81,0.82,0.45
15,Windswept Pines,Folk Whispers,folk,melancholic,0.32,76,0.42,0.28,0.91
16,Shredding Fury,Metal Kings,metal,intense,0.96,160,0.35,0.72,0.05
17,Midnight Romance,R&B Silk,r&b,romantic,0.71,96,0.79,0.80,0.38
18,Island Vibes,Reggae Roots,reggae,peaceful,0.55,90,0.77,0.68,0.78
